"Part";"Value";"Device";"Package";"Description";"SPICEPREFIX";
"C1";"47uF";"CPOL-USUD-6,3X7,7";"UD-6,3X7,7_NICHICON";"POLARIZED CAPACITOR, American symbol";"C";
"C2";"1uF";"C-USC1206";"C1206";"CAPACITOR, American symbol";"C";
"C3";"1uF";"C-USC1206";"C1206";"CAPACITOR, American symbol";"C";
"C4";"1uF";"C-USC1206";"C1206";"CAPACITOR, American symbol";"C";
"C5";"47uF";"CPOL-USUD-6,3X7,7";"UD-6,3X7,7_NICHICON";"POLARIZED CAPACITOR, American symbol";"C";
"C6";"47uF";"CPOL-USUD-6,3X7,7";"UD-6,3X7,7_NICHICON";"POLARIZED CAPACITOR, American symbol";"C";
"C7";"47uF";"CPOL-USUD-6,3X7,7";"UD-6,3X7,7_NICHICON";"POLARIZED CAPACITOR, American symbol";"C";
"C8";"1uF";"C-USC1206";"C1206";"CAPACITOR, American symbol";"C";
"C9";"1 uF";"C-USC1206";"C1206";"CAPACITOR, American symbol";"";
"C10";".5 uF";"C-USC1206";"C1206";"CAPACITOR, American symbol";"";
"C11";"47uF";"CPOL-USUD-6,3X7,7";"UD-6,3X7,7_NICHICON";"POLARIZED CAPACITOR, American symbol";"C";
"C12";"47uF";"CPOL-USUD-6,3X7,7";"UD-6,3X7,7_NICHICON";"POLARIZED CAPACITOR, American symbol";"C";
"C13";"1uF";"C-USC1206";"C1206";"CAPACITOR, American symbol";"C";
"C14";"1uF";"C-USC1206";"C1206";"CAPACITOR, American symbol";"C";
"C15";"1uF";"C-USC1206";"C1206";"CAPACITOR, American symbol";"C";
"C16";".5uF";"C-USC1206";"C1206";"CAPACITOR, American symbol";"C";
"C17";"1uF";"C-USC1206";"C1206";"CAPACITOR, American symbol";"C";
"C18";"1uF";"C-USC1206";"C1206";"CAPACITOR, American symbol";"C";
"C19";"1uF";"C-USC1206";"C1206";"CAPACITOR, American symbol";"C";
"C20";"1uF";"C-USC1206";"C1206";"CAPACITOR, American symbol";"C";
"CN1";"KF2510-2";"KF2510-2";"KF2540-2";"KF2510-2 - 2 PIN Molex Connector";"";
"CN2";"KF2510-2";"KF2510-2";"KF2540-2";"KF2510-2 - 2 PIN Molex Connector";"";
"CN3";"KF2510-2";"KF2510-2";"KF2540-2";"KF2510-2 - 2 PIN Molex Connector";"";
"CN4";"KF2510-2";"KF2510-2";"KF2540-2";"KF2510-2 - 2 PIN Molex Connector";"";
"CN5";"KF2510-2";"KF2510-2";"KF2540-2";"KF2510-2 - 2 PIN Molex Connector";"";
"CN6";"KF2510-2";"KF2510-2";"KF2540-2";"KF2510-2 - 2 PIN Molex Connector";"";
"CN7";"KF2510-2";"KF2510-2";"KF2540-2";"KF2510-2 - 2 PIN Molex Connector";"";
"CN8";"KF2510-2";"KF2510-2";"KF2540-2";"KF2510-2 - 2 PIN Molex Connector";"";
"CN9";"KF2510-2";"KF2510-2";"KF2540-2";"KF2510-2 - 2 PIN Molex Connector";"";
"CN10";"KF2510-2";"KF2510-2";"KF2540-2";"KF2510-2 - 2 PIN Molex Connector";"";
"CN11";"KF2510-2";"KF2510-2";"KF2540-2";"KF2510-2 - 2 PIN Molex Connector";"";
"CN12";"KF2510-2";"KF2510-2";"KF2540-2";"KF2510-2 - 2 PIN Molex Connector";"";
"CN13";"KF2510-2";"KF2510-2";"KF2540-2";"KF2510-2 - 2 PIN Molex Connector";"";
"CN14";"KF2510-2";"KF2510-2";"KF2540-2";"KF2510-2 - 2 PIN Molex Connector";"";
"CN15";"KF2510-2";"KF2510-2";"KF2540-2";"KF2510-2 - 2 PIN Molex Connector";"";
"CN16";"KF2510-2";"KF2510-2";"KF2540-2";"KF2510-2 - 2 PIN Molex Connector";"";
"CN17";"KF2510-2";"KF2510-2";"KF2540-2";"KF2510-2 - 2 PIN Molex Connector";"";
"CN18";"PHEON_MKDS_CON";"PHEON_MKDS_CON";"PHOEN_MKDS";"Phoenix Contact - Combicon MKDS: 2 Position Screw Terminal";"";
"CN19";"MOLEX_FPC_52892_1233";"MOLEX_FPC_52892_1233";"MOLEX_WM1108";"Molex 12 Pin FPC:";"";
"CN20";"KF2510-2";"KF2510-2";"KF2540-2";"KF2510-2 - 2 PIN Molex Connector";"";
"CN21";"KF2510-2";"KF2510-2";"KF2540-2";"KF2510-2 - 2 PIN Molex Connector";"";
"D1";"RS1AL_DIODE";"RS1AL_DIODE";"DO219";"RS1AL: 800mA 50V Diode";"";
"D2";"RS1AL_DIODE";"RS1AL_DIODE";"DO219";"RS1AL: 800mA 50V Diode";"";
"D3";"RS1AL_DIODE";"RS1AL_DIODE";"DO219";"RS1AL: 800mA 50V Diode";"";
"D4";"RS1AL_DIODE";"RS1AL_DIODE";"DO219";"RS1AL: 800mA 50V Diode";"";
"D5";"RS1AL_DIODE";"RS1AL_DIODE";"DO219";"RS1AL: 800mA 50V Diode";"";
"D6";"RS1AL_DIODE";"RS1AL_DIODE";"DO219";"RS1AL: 800mA 50V Diode";"";
"D7";"RS1AL_DIODE";"RS1AL_DIODE";"DO219";"RS1AL: 800mA 50V Diode";"";
"D8";"RS1AL_DIODE";"RS1AL_DIODE";"DO219";"RS1AL: 800mA 50V Diode";"";
"D9";"RS1AL_DIODE";"RS1AL_DIODE";"DO219";"RS1AL: 800mA 50V Diode";"";
"D10";"RS1AL_DIODE";"RS1AL_DIODE";"DO219";"RS1AL: 800mA 50V Diode";"";
"D11";"RS1AL_DIODE";"RS1AL_DIODE";"DO219";"RS1AL: 800mA 50V Diode";"";
"D12";"RS1AL_DIODE";"RS1AL_DIODE";"DO219";"RS1AL: 800mA 50V Diode";"";
"D13";"RS1AL_DIODE";"RS1AL_DIODE";"DO219";"RS1AL: 800mA 50V Diode";"";
"D14";"RS1AL_DIODE";"RS1AL_DIODE";"DO219";"RS1AL: 800mA 50V Diode";"";
"D15";"RS1AL_DIODE";"RS1AL_DIODE";"DO219";"RS1AL: 800mA 50V Diode";"";
"D16";"RS1AL_DIODE";"RS1AL_DIODE";"DO219";"RS1AL: 800mA 50V Diode";"";
"D17";"1206LED";"1206LED";"1206";"";"";
"D18";"1206LED";"1206LED";"1206";"";"";
"D19";"1206LED";"1206LED";"1206";"";"";
"D20";"1206LED";"1206LED";"1206";"";"";
"D21";"1206LED";"1206LED";"1206";"";"";
"D22";"1206LED";"1206LED";"1206";"";"";
"D23";"1206LED";"1206LED";"1206";"";"";
"D24";"1206LED";"1206LED";"1206";"";"";
"D25";"1206LED";"1206LED";"1206";"";"";
"D26";"1206LED";"1206LED";"1206";"";"";
"D27";"1206LED";"1206LED";"1206";"";"";
"D28";"1206LED";"1206LED";"1206";"";"";
"D29";"1206LED";"1206LED";"1206";"";"";
"D30";"1206LED";"1206LED";"1206";"";"";
"D31";"1206LED";"1206LED";"1206";"";"";
"D32";"1206LED";"1206LED";"1206";"";"";
"D33";"1206LED";"1206LED";"1206";"";"";
"D34";"6.2V";"MM3Z6V2B";"SOD_323F";"MM3Z6V2B:  Zener Diode";"";
"D35";"6.2V";"MM3Z6V2B";"SOD_323F";"MM3Z6V2B:  Zener Diode";"";
"D36";"6.2";"MM3Z6V2B";"SOD_323F";"MM3Z6V2B:  Zener Diode";"";
"D37";"6.2V";"MM3Z6V2B";"SOD_323F";"MM3Z6V2B:  Zener Diode";"";
"D38";"6.2V";"MM3Z6V2B";"SOD_323F";"MM3Z6V2B:  Zener Diode";"";
"D39";"6.2V";"MM3Z6V2B";"SOD_323F";"MM3Z6V2B:  Zener Diode";"";
"D40";"6.2V";"MM3Z6V2B";"SOD_323F";"MM3Z6V2B:  Zener Diode";"";
"D41";"6.2V";"MM3Z6V2B";"SOD_323F";"MM3Z6V2B:  Zener Diode";"";
"D42";"6.2V";"MM3Z6V2B";"SOD_323F";"MM3Z6V2B:  Zener Diode";"";
"D43";"6.2V";"MM3Z6V2B";"SOD_323F";"MM3Z6V2B:  Zener Diode";"";
"D44";"6.2V";"MM3Z6V2B";"SOD_323F";"MM3Z6V2B:  Zener Diode";"";
"D45";"6.2V";"MM3Z6V2B";"SOD_323F";"MM3Z6V2B:  Zener Diode";"";
"D46";"6.2V";"MM3Z6V2B";"SOD_323F";"MM3Z6V2B:  Zener Diode";"";
"D47";"6.2V";"MM3Z6V2B";"SOD_323F";"MM3Z6V2B:  Zener Diode";"";
"D48";"6.2V";"MM3Z6V2B";"SOD_323F";"MM3Z6V2B:  Zener Diode";"";
"D49";"6.2V";"MM3Z6V2B";"SOD_323F";"MM3Z6V2B:  Zener Diode";"";
"F1";"32 VDC 15A";"LITTLEFUSE_AGU";"LITTLEFUSE125_003";"Littlefuse AGU Fuse:";"";
"JMP1";"0R-JUMPA";"0R-JUMPA";"A0R-JMP";"SMD 0R 0805 Jumper";"";
"JMP2";"0R-JUMPA";"0R-JUMPA";"A0R-JMP";"SMD 0R 0805 Jumper";"";
"JMP3";"0R-JUMPA";"0R-JUMPA";"A0R-JMP";"SMD 0R 0805 Jumper";"";
